Collection ID;Collection Name;Collection Description;Style Name;Gender;Style Key;Style Description;Prompt;Preview Image;Variations;Type
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Short Hair;femme;short_hair_style;Cheveux courts;While keeping the same face and same facial expression Make the hair in a Short hair style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/short_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Medium-Length Hair;femme;medium_length_hair_style;Cheveux mi-longs;While keeping the same face and same facial expression Make the hair in a Medium-length hair style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/medium_length_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Long Hair;femme;long_hair_style;Cheveux longs;While keeping the same face and same facial expression Make the hair in a Long hair style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/long_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Very Long Hair;femme;very_long_hair_style;Cheveux très longs;While keeping the same face and same facial expression Make the hair in a Very long hair style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/very_long_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Bob Cut;femme;bob_cut_hair_style;Carré classique;While keeping exactly the same face and the same facial expression, transform the hairstyle into a bob cut style, with the hair cut evenly around the head at jaw level, creating a sleek, classic look that frames the face with clean lines.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/bob_cut_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;A-Line / Inverted Bob;femme;a_line_bob_hair_style;Carré plongeant (inversé);While keeping the same face and the same facial expression, transform the hairstyle into an A-line bob style, with the hair cut shorter at the back and gradually longer in the front, creating a sharp angled silhouette that frames the jawline elegantly.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/a_line_bob_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Buzz Cut;femme;buzz_cut_hair_style;Coupe très courte (tondeuse);While keeping the same face and the same facial expression, transform the hairstyle into a buzz cut style, with the hair clipped very short and evenly across the entire scalp, creating a clean, minimalist look that emphasizes the shape of the head and facial features.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/buzz_cut_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Layered Cut;femme;layered_cut_hair_style;Coupe dégradée;While keeping the same face and the same facial expression, transform the hairstyle into a layered cut style, with the hair trimmed into multiple layers of varying lengths to add movement, dimension, and natural volume, creating a soft and dynamic look around the face.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/layered_cut_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Bowl Cut;femme;bowl_cut_hair_style;Coupe bol;While keeping the same face and same facial expression Make the hair in a Bowl cut style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/bowl_cut_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Pixie Cut;femme;pixie_cut_hair_style;Coupe pixie courte;While keeping the same face and same facial expression Make the hair in a Pixie cut style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/pixie_cut_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Boy Cut;femme;boy_cut_hair_style;Coupe courte façon boyish;While keeping the same face and the same facial expression, transform the hairstyle into a short boyish cut, with hair cropped close to the head for an androgynous, fresh look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/boy_cut_hair_style.jpg;1;cheveux courts
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Lob (Long Bob);femme;lob_hair_style;Carré long (lob);While keeping the same face and same facial expression Make the hair in a Lob (long bob) style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/lob_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Shag Haircut;femme;shag_haircut_style;Shag texturé avec mouvement;While keeping the same face and same facial expression Make the hair in a Shag haircut style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/shag_haircut_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Straight Bangs;femme;straight_bangs_hair_style;Frange droite pleine;While keeping the same face and same facial expression Make the hair in a Straight bangs style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/straight_bangs_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Curtain Bangs;femme;curtain_bangs_hair_style;Frange rideau;While keeping the same face and same facial expression Make the hair in a Curtain bangs style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/curtain_bangs_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Straight;femme;straight_hair_style;Cheveux lisses;While keeping the same face and same facial expression Make the hair in a Straight style;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/straight_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Wavy;femme;wavy_hair_style;Cheveux ondulés;While keeping the same face and the same facial expression, transform the hairstyle into a wavy style, with soft, flowing waves running through the hair to create gentle curves, added texture, and a relaxed, natural look that frames the face gracefully.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/wavy_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Curly;femme;curly_hair_style;Cheveux bouclés;While keeping the same face and the same facial expression, transform the hairstyle into long curly hair, with defined, voluminous curls that flow naturally for a lively and textured look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/curly_hair_style.jpg;1;cheveux longs
womens_hairstyles;Coupes de Cheveux Féminines;20 coupes de cheveux tendance pour femmes;Frizzy;femme;frizzy_hair_style;Cheveux frisottés;While keeping exactlythe same face and the same facial expression, transform the hairstyle into frizzy hair, with a full head of tight, slightly unruly strands creating extra volume and a naturally textured, untamed look.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/frizzy_hair_style.jpg;1;cheveux longs
