Collection ID;Collection Name;Collection Description;Style Name;Gender;Style Key;Style Description;Prompt;Preview Image;Variations
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Peinture à l'huile;g;oil_painting;Style peinture à l'huile impressionniste;Transform this portrait into an impressionist oil painting with vibrant colors and visible brushstrokes;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/oil-painting.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Aquarelle;g;watercolor;Style aquarelle doux et fluide;Transform this portrait into a delicate watercolor painting with soft edges and flowing colors;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/watercolor.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Pop Art;g;pop_art;Style pop art à la Andy Warhol;Transform this portrait into a vibrant pop art style like Andy Warhol, with bold colors and strong contrasts;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/pop-art.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Cubisme;g;cubism;Style cubiste à la Picasso;Transform this portrait into a cubist painting in the style of Picasso, with geometric shapes and multiple perspectives.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/cubism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Surréalisme;g;surrealism;Style surréaliste inspiré par Salvador Dalí;Transform this portrait into a surrealist painting inspired by Salvador Dalí, with dreamlike distortions and symbolic imagery.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/surrealism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Baroque;g;baroque;Style baroque avec éclairage dramatique;Transform this portrait into a baroque painting, with dramatic lighting, rich textures, and emotional intensity.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/baroque.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Renaissance;g;renaissance;Style renaissance avec proportions réalistes;Transform this portrait into a renaissance-style painting with realistic proportions, fine details, and a classical atmosphere.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/renaissance.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Pointillisme;g;pointillism;Style pointilliste à la Seurat;Transform this portrait into a pointillist painting using tiny colored dots to create form and light, like Georges Seurat.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/pointillism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Fauvisme;g;fauvism;Style fauviste avec couleurs expressives;Transform this portrait into a fauvist painting with wild brushstrokes and unnatural, expressive colors.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/fauvism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Expressionnisme Abstrait;g;abstract_expressionism;Style expressionniste avec texture audacieuse;Transform this portrait into an abstract expressionist painting with chaotic motion, heavy texture, and bold emotion.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/abstract_expressionism.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Clair-obscur;g;chiaroscuro;Style clair-obscur avec forts contrastes;Transform this portrait into a chiaroscuro-style painting with strong contrasts between light and dark.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/chiaroscuro.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Lavis d'Encre;g;ink_wash;Style minimaliste à l'encre asiatique;Transform this portrait into a minimalistic ink wash painting in the style of East Asian brush art.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/ink_wash.jpg;1
paint-magic;Collection Paint Magic;Tous les styles de peinture ,des couleurs éclatantes et des motifs uniques;Romantisme;g;romanticism;Style romantique avec lumière douce;Transform this portrait into a romanticism-inspired painting with soft light, rich emotion, and dramatic scenery.;https://leeveostockage.s3.eu-west-3.amazonaws.com/style/romanticism.jpg;1
